표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
KR7251970000,251970,펌텍코리아,펌텍코리아,"PUM-TECH KOREA CO., LTD.",2019/07/04,KOSDAQ,주권,우량기업부,보통주,500,"12,400,000"
KR7168360006,168360,펨트론,펨트론,PEMTRON Corporation,2022/11/24,KOSDAQ,주권,벤처기업부,보통주,500,"10,644,142"
KR7087010005,087010,펩트론,펩트론,"Peptron, Inc.",2015/07/22,KOSDAQ,주권,기술성장기업부,보통주,500,"20,626,853"
KR7119500007,119500,포메탈,포메탈,"FORMETAL CO., LTD",2010/09/17,KOSDAQ,주권,중견기업부,보통주,500,"11,847,232"
KR7389140005,389140,포바이포,포바이포,4by4 Inc.,2022/04/28,KOSDAQ,주권,벤처기업부,보통주,500,"11,073,235"
KR7189690001,189690,포시에스,포시에스,"FORCS Co., Ltd.",2015/02/11,KOSDAQ,주권,벤처기업부,보통주,500,"27,321,969"
KR7318020005,318020,포인트모바일,포인트모바일,"POINT MOBILE Co., Ltd.",2020/12/03,KOSDAQ,주권,관리종목(소속부없음),보통주,100,"12,662,272"
KR7256630005,256630,포인트엔지니어링,포인트엔지니어링,"POINT ENGINEERING Co., Ltd.",2017/05/02,KOSDAQ,주권,벤처기업부,보통주,100,"57,997,072"
KR7331380006,331380,포커스에이치엔에스,포커스에이치엔에스,FOCUS HNS,2019/10/02,KOSDAQ,주권,벤처기업부,보통주,100,"19,048,582"
KR7234100006,234100,폴라리스세원,폴라리스세원,Sewon,2017/10/20,KOSDAQ,주권,우량기업부,보통주,100,"54,344,248"
KR7041020009,041020,폴라리스오피스,폴라리스오피스,Polaris Office,2005/10/28,KOSDAQ,주권,벤처기업부,보통주,500,"49,725,498"
KR7114630007,114630,폴라리스우노,폴라리스우노,POLARIS UNO,2010/01/15,KOSDAQ,주권,우량기업부,보통주,500,"63,719,922"
KR7290720002,290720,푸드나무,푸드나무,"FOODNAMOO, INC.",2018/10/04,KOSDAQ,주권,중견기업부,보통주,500,"13,403,058"
KR7005670005,005670,푸드웰,푸드웰,FOODWELL CORPORATION,1993/12/07,KOSDAQ,주권,우량기업부,보통주,500,"10,000,000"
KR7094940004,094940,푸른기술,푸른기술,PULOON TECHNOLOGY INC.,2007/09/14,KOSDAQ,주권,벤처기업부,보통주,500,"8,361,386"
KR7007330004,007330,푸른상호저축은행,푸른저축은행,PureunMutualSavingsBank,1993/12/07,KOSDAQ,주권,우량기업부,보통주,"1,000","15,082,800"
KR7093380004,093380,풍강,풍강,"PUNGKANG CO.,LTD",2007/06/01,KOSDAQ,주권,중견기업부,보통주,500,"9,879,313"
KR7023900004,023900,풍국주정공업,풍국주정,Pungguk Ethanol,1994/11/23,KOSDAQ,주권,우량기업부,보통주,500,"12,600,000"
KR7371950007,371950,풍원정밀,풍원정밀,"POONGWON PRECISION Co.,Ltd.",2022/02/28,KOSDAQ,주권,기술성장기업부,보통주,500,"21,040,488"
KR7370090003,370090,퓨런티어,퓨런티어,Furonteer Inc.,2022/02/23,KOSDAQ,주권,기술성장기업부,보통주,500,"8,181,830"
KR7445180003,445180,퓨릿,퓨릿,"Purit Co., Ltd.",2023/10/18,KOSDAQ,주권,중견기업부,보통주,500,"16,769,188"
KR7220100002,220100,퓨쳐켐,퓨쳐켐,"FutureChem Co., Ltd.",2016/12/01,KOSDAQ,주권,기술성장기업부,보통주,500,"22,102,155"
KR7035200005,035200,프럼파스트,프럼파스트,"PLUMB FAST CO., LTD.",2002/01/15,KOSDAQ,주권,벤처기업부,보통주,500,"9,730,590"
KR7334970001,334970,프레스티지바이오로직스,프레스티지바이오로직스,"Prestige Biologics Co., Ltd.",2021/03/11,KOSDAQ,주권,기술성장기업부,보통주,500,"61,237,969"
KR7321260002,321260,프로이천,프로이천,PRO2000,2019/05/31,KOSDAQ,주권,벤처기업부,보통주,100,"28,192,084"
KR7053610002,053610,프로텍,프로텍,"PROTEC Co., Ltd.",2001/08/17,KOSDAQ,주권,우량기업부,보통주,500,"11,000,000"
KR7303360002,303360,프로티아,프로티아,PROTIA,2023/06/16,KOSDAQ,주권,기술성장기업부,보통주,500,"12,874,715"
KR7377220009,377220,프롬바이오,프롬바이오,"From Bio Co., Ltd.",2021/09/28,KOSDAQ,주권,기술성장기업부,보통주,100,"14,155,000"
KR7335810008,335810,프리시젼바이오,프리시젼바이오,Precision Biosensor Inc.,2020/12/22,KOSDAQ,주권,기술성장기업부,보통주,500,"11,614,526"
KR7053160008,053160,프리엠스,프리엠스,FreeMs Corporation,2001/10/30,KOSDAQ,주권,중견기업부,보통주,500,"6,000,000"
KR7405000001,405000,플라즈맵,플라즈맵,"Plasmapp Co., Ltd.",2022/10/21,KOSDAQ,주권,기술성장기업부,보통주,500,"20,234,667"
KR7041590001,041590,플래스크,플래스크,Flask,2002/11/01,KOSDAQ,주권,중견기업부,보통주,500,"131,627,414"
KR7367000007,367000,플래티어,플래티어,"Plateer Co., Ltd.",2021/08/12,KOSDAQ,주권,벤처기업부,보통주,500,"8,367,207"
KR7075130005,075130,플랜티넷,플랜티넷,"PLANTYNET Co., Ltd.",2005/06/10,KOSDAQ,주권,벤처기업부,보통주,500,"16,622,320"
KR7237820006,237820,플레이디,플레이디,"PlayD Co., Ltd.",2020/03/12,KOSDAQ,주권,중견기업부,보통주,500,"12,827,140"
KR7023770001,023770,플레이위드코리아,플레이위드,PLAYWITH KOREA,1994/11/07,KOSDAQ,주권,중견기업부,보통주,500,"8,766,820"
KR7300080009,300080,플리토,플리토,FLITTO Inc.,2019/07/17,KOSDAQ,주권,기술성장기업부,보통주,500,"5,233,796"
KR7032580003,032580,피델릭스,피델릭스,"Fidelix Co., Ltd.",1997/04/22,KOSDAQ,주권,중견기업부,보통주,500,"33,132,064"
KR7051380004,051380,피씨디렉트,피씨디렉트,"PC Direct, Inc.",2002/02/15,KOSDAQ,주권,중견기업부,보통주,500,"15,340,072"
KR7241820000,241820,피씨엘,피씨엘,PCL. Inc,2017/02/23,KOSDAQ,주권,벤처기업부,보통주,500,"51,528,708"
KR7237750005,237750,피앤씨테크,피앤씨테크,"PNC Technologies Co., Ltd.",2016/07/04,KOSDAQ,주권,벤처기업부,보통주,500,"6,496,600"
KR7319660007,319660,피에스케이,피에스케이,PSK INC.,2019/05/10,KOSDAQ GLOBAL,주권,우량기업부,보통주,500,"28,966,714"
KR7031980006,031980,피에스케이홀딩스,피에스케이홀딩스,PSK HOLDINGS INC.,1997/01/07,KOSDAQ,주권,우량기업부,보통주,500,"21,562,395"
KR7002230001,002230,피에스텍,피에스텍,"PS Tec. Co., Ltd.",1991/01/04,KOSDAQ,주권,중견기업부,보통주,500,"19,370,673"
KR7057880007,057880,피에이치씨,피에이치씨,PHC,2003/12/29,KOSDAQ,주권,관리종목(소속부없음),보통주,500,"118,807,375"
KR7043370006,043370,피에이치에이,피에이치에이,PHA,2001/12/13,KOSDAQ,주권,우량기업부,보통주,500,"21,000,000"
KR7239890007,239890,피엔에이치테크,피엔에이치테크,"P&H TECH Co., Ltd.",2021/02/16,KOSDAQ,주권,기술성장기업부,보통주,500,"9,935,755"
KR7347740003,347740,피엔케이피부임상연구센타,피엔케이피부임상연구센타,"P&K Skin Research Center Co.,Ltd.",2020/09/09,KOSDAQ,주권,중견기업부,보통주,500,"30,010,576"
KR7137400008,137400,피엔티,피엔티,"People & Technology, Inc.",2012/07/06,KOSDAQ GLOBAL,주권,우량기업부,보통주,500,"22,741,198"
KR7257370007,257370,피엔티엠에스,피엔티엠에스,"People & Technology Ms, Inc.",2018/09/13,KOSDAQ,주권,관리종목(소속부없음),보통주,500,"11,687,861"
KR7024940009,024940,피엔풍년,PN풍년,"PNPOONGNYUN CO.,LTD",1995/01/04,KOSDAQ,주권,벤처기업부,보통주,500,"10,000,000"
KR7147760003,147760,피엠티,피엠티,Protec Mems Technology,2016/12/12,KOSDAQ,주권,벤처기업부,보통주,500,"10,819,866"
KR7128660008,128660,피제이메탈,피제이메탈,"PJ METAL CO., LTD.",2010/12/13,KOSDAQ,주권,중견기업부,보통주,500,"24,803,369"
KR7006140008,006140,피제이전자,피제이전자,"PJ ELECTRONICS CO., LTD.",1993/12/07,KOSDAQ,주권,우량기업부,보통주,500,"15,000,000"
KR7376180006,376180,피코그램,피코그램,"Picogram Co.,Ltd.",2021/11/03,KOSDAQ,주권,벤처기업부,보통주,100,"18,416,858"
KR7304840002,304840,피플바이오,피플바이오,"PeopleBio, Inc.",2020/10/19,KOSDAQ,주권,기술성장기업부,보통주,500,"21,089,464"
KR7062970009,062970,피피아이,피피아이,PPI. INC,2019/12/26,KOSDAQ,주권,중견기업부,보통주,500,"9,308,185"
KR7087600003,087600,픽셀플러스,픽셀플러스,"Pixelplus. Co., Ltd.",2015/06/12,KOSDAQ,주권,벤처기업부,보통주,500,"8,166,558"
KR7291810000,291810,핀텔,핀텔,"Pintel Co., Ltd.",2022/10/20,KOSDAQ,주권,기술성장기업부,보통주,500,"11,343,912"
KR7378340004,378340,필에너지,필에너지,"PHILENERGY CO., LTD.",2023/07/14,KOSDAQ,주권,중견기업부,보통주,500,"21,208,882"
KR7161580006,161580,필옵틱스,필옵틱스,"PHILOPTICS CO., LTD.",2017/06/01,KOSDAQ,주권,중견기업부,보통주,500,"23,291,643"
KR7347770000,347770,핌스,핌스,PIMS Inc.,2020/09/18,KOSDAQ,주권,벤처기업부,보통주,500,"22,857,042"
KR7163730005,163730,핑거,핑거,Finger Inc.,2021/01/29,KOSDAQ,주권,우량기업부,보통주,500,"9,341,271"
KR7417180007,417180,핑거스토리,핑거스토리,"Finger Story CO., LTD.",2022/12/08,KOSDAQ,주권,중견기업부,보통주,100,"16,585,796"
KR7446750002,446750,하나26호기업인수목적,하나26호스팩,Hana 26 Special Purpose Acquisition Company,2023/03/07,KOSDAQ,주권,SPAC(소속부없음),보통주,100,"6,030,000"
KR7448370007,448370,하나27호기업인수목적,하나27호스팩,Hana 27 Special Purpose Acquisition Company,2023/04/06,KOSDAQ,주권,SPAC(소속부없음),보통주,100,"5,620,000"
KR7454750001,454750,하나28호기업인수목적,하나28호스팩,Hana 28 Special Purpose Acquisition Company,2023/08/10,KOSDAQ,주권,SPAC(소속부없음),보통주,100,"7,202,000"
KR7454640004,454640,하나29호기업인수목적,하나29호스팩,Hana 29 Special Purpose Acquisition Company,2023/06/28,KOSDAQ,주권,SPAC(소속부없음),보통주,100,"5,401,000"
KR7469880009,469880,하나30호기업인수목적,하나30호스팩,Hana 30 Special Purpose Acquisition Company,2023/12/22,KOSDAQ,주권,SPAC(소속부없음),보통주,100,"7,305,000"
KR7406760009,406760,하나금융21호기업인수목적,하나금융21호스팩,Hana Financial Twenty-one SPAC,2022/02/25,KOSDAQ,주권,SPAC(소속부없음),보통주,100,"7,410,000"
KR7418170007,418170,하나금융22호기업인수목적,하나금융22호스팩,Hana Financial Twenty-two SPAC,2022/05/26,KOSDAQ,주권,SPAC(소속부없음),보통주,100,"6,010,000"
KR7427950001,427950,하나금융23호기업인수목적,하나금융23호스팩,Hana Financial Twenty-three SPAC,2022/09/15,KOSDAQ,주권,SPAC(소속부없음),보통주,100,"4,830,000"
KR7430230003,430230,하나금융24호기업인수목적,하나금융24호스팩,Hana Financial Twenty-four SPAC,2022/09/29,KOSDAQ,주권,SPAC(소속부없음),보통주,100,"8,004,000"
KR7435620000,435620,하나금융25호기업인수목적,하나금융25호스팩,Hana Financial Twenty-five SPAC,2022/10/20,KOSDAQ,주권,SPAC(소속부없음),보통주,500,"4,302,000"
KR7299030007,299030,하나기술,하나기술,"HANA TECHNOLOGY CO.,LTD.",2020/11/25,KOSDAQ,주권,벤처기업부,보통주,500,"8,160,607"
KR7067310003,067310,하나마이크론,하나마이크론,Hana Micron Inc.,2005/10/11,KOSDAQ GLOBAL,주권,우량기업부,보통주,500,"47,979,854"
KR7372290007,372290,하나머스트7호기업인수목적,하나머스트7호스팩,Hana Must Seven Special Purpose Acquisition Company,2021/03/05,KOSDAQ,주권,SPAC(소속부없음),보통주,100,"4,304,000"
KR7166090001,166090,하나머티리얼즈,하나머티리얼즈,Hana Materials Inc.,2017/04/28,KOSDAQ GLOBAL,주권,우량기업부,보통주,500,"19,752,674"
KR7136480001,136480,하림,하림,"HARIM Co., Ltd.",2011/05/02,KOSDAQ,주권,우량기업부,보통주,500,"106,209,702"
KR7003380003,003380,하림지주,하림지주,"Harim Holdings Co., Ltd.",2017/06/30,KOSDAQ GLOBAL,주권,우량기업부,보통주,100,"112,005,621"
KR7101670008,101670,하이드로리튬,하이드로리튬,Hydro Lithium,2008/07/15,KOSDAQ,주권,벤처기업부,보통주,200,"44,579,068"
KR7365590009,365590,하이딥,하이딥,HiDeep,2020/12/21,KOSDAQ,주권,기술성장기업부,보통주,100,"143,523,916"
KR7149980005,149980,하이로닉,하이로닉,"Hironic Co.,Ltd",2014/12/17,KOSDAQ,주권,벤처기업부,보통주,100,"15,786,859"
KR7013030002,013030,하이록코리아,하이록코리아,HY-LOK CORPORATION,1989/12/15,KOSDAQ,주권,우량기업부,보통주,500,"12,856,050"
KR7126700004,126700,하이비젼시스템,하이비젼시스템,HyVISION SYSTEM.INC,2010/09/10,KOSDAQ,주권,우량기업부,보통주,500,"14,942,112"
KR7106080005,106080,하이소닉,하이소닉,"HYSONIC Co., Ltd.",2010/02/09,KOSDAQ,주권,중견기업부,보통주,"1,000","15,473,561"
KR7377400007,377400,하이제6호기업인수목적,하이제6호스팩,HI Special Purpose Acquisition Company VI,2021/05/10,KOSDAQ,주권,SPAC(소속부없음),보통주,100,"5,407,500"
KR7400840005,400840,하이제7호기업인수목적,하이제7호스팩,HI Special Purpose Acquisition Company VII,2021/12/20,KOSDAQ,주권,SPAC(소속부없음),보통주,100,"5,120,000"
KR7450050000,450050,하이제8호기업인수목적,하이제8호스팩,HI Special Purpose Acquisition Company VIII,2023/06/22,KOSDAQ,주권,SPAC(소속부없음),보통주,100,"5,014,000"
KR7221840002,221840,하이즈항공,하이즈항공,"HIZEAERO Co.,Ltd.",2015/11/25,KOSDAQ,주권,중견기업부,보통주,500,"18,700,561"
KR7106190002,106190,하이텍팜,하이텍팜,"HIGH TECH PHARM CO., LTD.",2010/07/28,KOSDAQ,주권,중견기업부,보통주,500,"10,633,173"
KR7373200005,373200,하인크코리아,하인크코리아,HaAINC KOREA,2021/02/26,KOSDAQ,주권,벤처기업부,보통주,100,"18,927,000"
KR7066130006,066130,하츠,하츠,HAATZ Inc.,2003/02/11,KOSDAQ,주권,우량기업부,보통주,500,"12,800,000"
KR7004590006,004590,한국가구,한국가구,KoreaFurniture,1993/06/03,KOSDAQ,주권,중견기업부,보통주,100,"15,000,000"
KR7039340005,039340,한국경제티브이,한국경제TV,The Korea Economic Broadcasting,2004/07/30,KOSDAQ,주권,우량기업부,보통주,500,"23,000,000"
KR7034950006,034950,한국기업평가,한국기업평가,Korea Ratings Corporation,2002/02/07,KOSDAQ,주권,우량기업부,보통주,"5,000","4,540,514"
KR7222980005,222980,한국맥널티,한국맥널티,"Mcnulty Korea Co., Ltd",2015/12/23,KOSDAQ,주권,벤처기업부,보통주,500,"11,031,483"
KR7256840000,256840,한국비엔씨,한국비엔씨,"BNC Korea Co, Ltd",2016/12/28,KOSDAQ,주권,벤처기업부,보통주,100,"67,912,443"
KR7025550005,025550,한국선재,한국선재,"HANKUK STEEL WIRE CO., LTD.",1995/06/19,KOSDAQ,주권,우량기업부,보통주,500,"23,300,000"
KR7017890005,017890,한국알콜산업,한국알콜,KoreaAlcoholIndustrial,1992/08/04,KOSDAQ,주권,우량기업부,보통주,500,"21,605,760"
KR7080720006,080720,한국유니온제약,한국유니온제약,"UNION KOREA PHARM CO.,Ltd",2018/07/26,KOSDAQ,주권,벤처기업부,보통주,500,"7,909,630"
KR7063570006,063570,한국전자금융,한국전자금융,"NICE Total Cash Management Co., Ltd",2006/07/14,KOSDAQ,주권,우량기업부,보통주,500,"34,147,728"
KR7041460007,041460,한국전자인증,한국전자인증,Korea Electronic Certification Authority Inc.,2010/11/19,KOSDAQ,주권,중견기업부,보통주,500,"19,000,000"
KR7101680007,101680,한국정밀기계,한국정밀기계,"HNK MACHINE TOOL CO.,LTD.",2009/05/19,KOSDAQ,주권,중견기업부,보통주,500,"8,404,000"
KR7039740006,039740,한국정보공학,한국정보공학,Korea Information Engineering Services,2000/07/06,KOSDAQ,주권,중견기업부,보통주,500,"8,018,397"
KR7053300000,053300,한국정보인증,한국정보인증,"KOREA INFORMATION CERTIFICATE AUTHORITY, INCORPORATED",2014/02/04,KOSDAQ,주권,우량기업부,보통주,500,"41,776,331"
KR7025770009,025770,한국정보통신,한국정보통신,KoreaInformation&Communication,1998/01/20,KOSDAQ,주권,우량기업부,보통주,500,"37,444,271"
KR7436610000,436610,한국제11호기업인수목적,한국제11호스팩,"Korea No.11 Special Purpose Acquisition Co., LTD.",2022/10/20,KOSDAQ,주권,SPAC(소속부없음),보통주,100,"6,020,000"
KR7458610003,458610,한국제12호기업인수목적,한국제12호스팩,"Korea No.12 Special Purpose Acquisition Co., LTD.",2023/08/30,KOSDAQ,주권,SPAC(소속부없음),보통주,100,"4,230,000"
KR7464440007,464440,한국제13호기업인수목적,한국제13호스팩,"Korea No.13 Special Purpose Acquisition Co., LTD.",2023/11/13,KOSDAQ,주권,SPAC(소속부없음),보통주,100,"4,320,000"
KR7023760002,023760,한국캐피탈,한국캐피탈,"Han Kook Capital Co., Ltd.",1994/11/07,KOSDAQ,주권,우량기업부,보통주,500,"315,609,576"
KR7054040001,054040,한국컴퓨터,한국컴퓨터,KOREA COMPUTER INC.,2002/01/15,KOSDAQ,주권,우량기업부,보통주,500,"16,071,290"
KR7021650007,021650,한국큐빅,한국큐빅,CUBIC KOREA INC.,2003/01/24,KOSDAQ,주권,중견기업부,보통주,500,"16,350,563"
KR7053590006,053590,한국테크놀로지,한국테크놀로지,HANKOOK Technology Inc.,2001/08/23,KOSDAQ,주권,투자주의환기종목(소속부없음),보통주,500,"157,140,147"
KR7032300006,032300,한국파마,한국파마,"KOREA PHARMA Co., Ltd.",2020/08/10,KOSDAQ,주권,우량기업부,보통주,500,"10,906,701"
KR7037230000,037230,한국팩키지,한국팩키지,"HANKUK PACKAGE CO., LTD.",1999/12/21,KOSDAQ,주권,중견기업부,보통주,500,"29,800,327"
KR7030520001,030520,한글과컴퓨터,한글과컴퓨터,HANCOM INC.,1996/09/24,KOSDAQ,주권,우량기업부,보통주,500,"24,179,744"
KR7052600004,052600,한네트,한네트,"HANNET CO., LTD.",2001/07/10,KOSDAQ,주권,중견기업부,보통주,500,"11,563,700"
KR7256150004,256150,한독크린텍,한독크린텍,"Handok Clean Tech Co., Ltd.",2019/09/05,KOSDAQ,주권,벤처기업부,보통주,500,"8,395,000"
KR7092460005,092460,한라아이엠에스,한라IMS,"HANLA IMS Co., LTD",2007/05/22,KOSDAQ,주권,우량기업부,보통주,500,"17,109,680"
KR7452190002,452190,한빛레이저,한빛레이저,HBL Corporation,2024/01/04,KOSDAQ,주권,벤처기업부,보통주,100,"21,958,488"
KR7047080007,047080,한빛소프트,한빛소프트,HANBIT SOFT Inc.,2002/01/10,KOSDAQ,주권,중견기업부,보통주,500,"24,822,362"
KR7452280001,452280,한선엔지니어링,한선엔지니어링,"HANSUN ENGINEERING CO., LTD.",2023/11/24,KOSDAQ,주권,중견기업부,보통주,500,"17,002,500"
KR7066980004,066980,한성크린텍,한성크린텍,HANSUNG CLEANTECH,2003/01/17,KOSDAQ,주권,중견기업부,보통주,500,"50,035,429"
KR7114810005,114810,한솔아이원스,한솔아이원스,Hansol IONES,2013/02/07,KOSDAQ,주권,투자주의환기종목(소속부없음),보통주,500,"29,352,174"
KR7070590005,070590,한솔인티큐브,한솔인티큐브,"Hansol Inticube Co., Ltd.",2004/01/08,KOSDAQ,주권,중견기업부,보통주,500,"13,879,521"
KR7226440006,226440,한송네오텍,한송네오텍,"HANSONGNEOTECH CO.,LTD.",2015/10/06,KOSDAQ,주권,관리종목(소속부없음),보통주,100,"65,739,186"
KR7042520007,042520,한스바이오메드,한스바이오메드,HANS BIOMED CORPORATION,2009/10/09,KOSDAQ,주권,벤처기업부,보통주,500,"13,526,367"
KR7430690008,430690,한싹,한싹,"Hanssak Co., Ltd.",2023/10/04,KOSDAQ,주권,벤처기업부,보통주,500,"5,447,675"
KR7078350006,078350,한양디지텍,한양디지텍,"HANYANG DIGITECH CO.,LTD.",2004/05/14,KOSDAQ,주권,우량기업부,보통주,500,"15,244,382"
KR7045100005,045100,한양이엔지,한양이엔지,"HANYANG ENG CO.,LTD.",2000/08/31,KOSDAQ,주권,우량기업부,보통주,500,"18,000,000"
KR7024740003,024740,한일단조공업,한일단조,HanilForgingIndustrial,1996/11/29,KOSDAQ,주권,중견기업부,보통주,500,"31,532,546"
